emplacement,address,fast_charger,slow_charger,Support_car_type,latitude,longitude
가평지사,경기도 가평군 가평읍 가화로 169-11,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.83402282,127.5105938
상면사무소,경기도 가평군 상면 연하리 171-1,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.80497668,127.3569916
가평종합운동장,경기도 가평군 가평읍 대곡리 316,2,0,"BMW i3,스파크EV,볼트EV",37.82494596,127.5072685
가평하수도사업소,경기도 가평군 가평읍 달전리 364,1,0,"SM3 Z.E,테슬라",37.81627432,127.5203374
가평소방서,경기도 가평군 가평읍 대곡리 213-5,1,0,"SM3 Z.E,테슬라",37.82362367,127.5167102
설악면사무소,경기도 가평군 설악면 신천리 156-1,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.67596784,127.4946291
조종면사무소,경기도 가평군 조종면 현리 567-7,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.8176112,127.3532892
가람아파트,서울특별시 강남구 일원동 일원로 127,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.48169316,127.0849323
조종소방서,경기도 가평군 조종면 현리 413-20,1,0,"SM3 Z.E,테슬라",37.81620516,127.3497085
청평소방서,경기도 가평군 청평면 하천리 284-5,1,0,"SM3 Z.E,테슬라",37.75335734,127.4340653
강남데시앙파크,서울특별시 강남구 세곡동 헌릉로590길 63,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.46071365,127.1018925
청평호반문화체육센터,경기도 가평군 청평면 청평리 333-13,1,0,"SM3 Z.E,테슬라",37.73909858,127.4243248
LH서울지사,서울특별시 강남구 선릉로 121길 12,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.51414496,127.0408762
강남구청 공영주차장,서울특별시 강남구 삼성동 16-1,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.51756859,127.0474867
강남데시앙포레,서울특별시 강남구 수서동 광평로34길55,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.48084651,127.0923646
강남세브란스 병원,서울특별시 강남구 언주로 211,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.49209082,127.0463194
LH강남힐스테이트,서울특별시 강남구 자곡동 자곡로3길 21,1,4,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.47157785,127.0895214
개나리푸르지오,서울특별시 강남구 역삼동 755-1,0,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.49972126,127.0499793
강남아이파크,서울특별시 강남구 자곡동 자곡로 175,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.47441803,127.1013597
강남한신휴 플러스8단지,서울특별시 강남구 율현동 밤고개로27길 20,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.46905615,127.1109275
공무원연금공단 서울지부(상록회관),서울특별시 강남구 역삼동 701,1,0,"SM3 Z.E,테슬라",37.50385952,127.0431599
개나리래미안 아파트,서울특별시 강남구 역삼동 역삼로 306,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.49923674,127.0474799
강남한신휴플러스6단지 아파트,서울특별시 강남구 율현동 밤고개로26길 50,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.46857644,127.1046277
개포7차 우성 아파트,서울특별시 강남구 일원동 개포로110길 15,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.4927611,127.0775912
